Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
This Side of Paradise,F. Scott Fitzgerald,"",9780684843780,paperback,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
A Little Life,Hanya Yanagihara,"",9780385539258,hardcover,to-read,2025/01/27,"","",0,"",,,,,,,,,"",,"to-be-read, dnf",Yes
To Kill a Mockingbird,Harper Lee,"",1784752630,paperback,to-read,2025/02/11,"","",0,"",,,,,,,,,"",,"",No
My Mechanical Romance,Alexene Farol Follmuth,"",9780823450107,hardcover,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Loathe to Love You,Ali Hazelwood,"",9781408726778,paperback,read,2026/01/21,2026/01/28,2026/01/21-2026/01/28,1,"",,"","","","","",4.5,"","","","",No
The Martian,Andy Weir,"",9780804139021,hardcover,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Amari and the Great Game,B.B. Alston,"",9780062975195,hardcover,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,No
The Love Hypothesis,Ali Hazelwood,"",9780593336823,paperback,read,2026/01/18,2022/12/19,2022/11/06-2022/12/19,1,"",,,,,,,,,"",,"",No
The Canterville Ghost,Oscar Wilde,"",8742974410,,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
I Believe in a Thing Called Love,Maurene Goo,"",9780374304041,hardcover,read,2024/11/11,2024/07/16,2024/07/16,1,"",,,,,,,4.0,,"",,"",No
All My Sons,Arthur Miller,Christopher Bigsby (Contributor),9780141185460,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Nineteen Eighty-Four,George Orwell,"",9780452284234,paperback,read,2024/12/13,2025/01/23,2025/01/23,1,"",,,,,,,5.0,,"",,"",No
Number the Stars,Lois Lowry,"",9780440227533,paperback,to-read,2025/04/28,"","",0,"",,,,,,,,,"",,"",No
Lessons in Chemistry,Bonnie Garmus,"","",audio,to-read,2025/01/31,"","",0,"",,,,,,,,,"",,"",No
"Moby-Dick: Or, the Whale",Herman Melville,"Tom Quirk (Contributor), Andrew Delbanco (Contributor)",9780142437247,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,to-be-read,No
I Hope This Doesn't Find You,Ann Liang,"",9781338827156,hardcover,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,to-be-read,No
There Are No Children Here: The Story of Two Boys Growing Up in the Other America,Alex Kotlowitz,"",9780385265560,paperback,to-read,2025/06/04,"","",0,"",,,,,,,,,"",,to-be-read,No
A Raisin in the Sun,Lorraine Hansberry,"",9780375508332,hardcover,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Death of a Salesman,Arthur Miller,"",9780435233075,hardcover,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Mùa hè không tên,"Nguyễn Nhật Ánh, Đỗ Hoàng Tường",Nguyễn Nhật Ánh (Illustrator),9786041237742,paperback,to-read,2025/05/24,"","",0,"",,,,,,,,,"",,to-be-read,No
The Book Thief,Markus Zusak,"","",audio,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
If You Could See the Sun,Ann Liang,"",9781335915849,hardcover,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
On the Come Up,Angie Thomas,"","",audio,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Not Another Love Song,Julie Soto,"",9781538740910,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Emily Windsnap and the Siren's Secret,Liz Kessler,"",9781842556863,hardcover,to-read,2025/06/04,"","",0,"",,,,,,,,,"",,to-be-read,No
Immortality: A Love Story,Dana Schwartz,"",9781250861016,hardcover,to-read,2025/01/30,"","",0,"",,,,,,,,,"",,"",No
The Tempest,William Shakespeare,"","",,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
The Little Friend,Donna Tartt,"",9781400031696,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Refugee,Alan Gratz,"",9780545880879,digital,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Circe,Madeline Miller,"",9780316556347,hardcover,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Beloved Oxford,Dương Thụy,Elbert Bloom,"",digital,read,2026/01/21,2026/01/23,2026/01/21-2026/01/23,1,"",,"","","","","",0.25,<div>Never reading Dương Thuỵ ever again</div>,"","","",No
I Am Not Jessica Chen,Ann Liang,"",9781335523129,hardcover,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
The Count of Monte Cristo,Alexandre Dumas,Robin Buss (Translator),9780140449266,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
The Prince and the Pauper,Mark Twain,"",9780451528353,paperback,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
The Lord of the Rings,J.R.R. Tolkien,"",9780618640157,paperback,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
Orlando,Virginia Woolf,"",9780141184272,paperback,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
The Odyssey,Homer,Robert Fagles (Translator),9780143039952,paperback,to-read,2025/02/11,"","",0,"",,,,,,,,,"",,"",No
Mere Mortals,Erin Jade Lange,"",9780063219113,hardcover,read,2025/02/23,"","",1,"",,,,,,,3.0,,"",,"",No
A Streetcar Named Desire,Tennessee Williams,"",9780822210894,paperback,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
The Seven Year Slip,Ashley Poston,"","",digital,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Antony and Cleopatra,William Shakespeare,"Paul Werstine (Contributor), Cynthia Marshall (Contributor), Barbara A. Mowat (Contributor)",9780743482851,paperback,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
The Handmaid's Tale,Margaret Atwood,"",9780385490818,paperback,to-read,2026/01/19,"","",0,"",,,,,,,,,"",,"",Yes
The Outsiders,S.E. Hinton,"",9780142407332,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
The Lost Hero,Rick Riordan,"",9781423113393,hardcover,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,Yes
The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Michelle Alexander,"",9781595585301,digital,read,2025/05/31,2025/06/13,2025/06/13,1,"",,,,,,,4.0,"Personal reflection. I will say that this book opened my eyes to the cruel reality that has been occurring in the US in the past few decades. Even though the civil rights movement outlawed explicit discrimination and segregation of colored and white people, it hasn’t outlaw implicit discrimination, in this case, through the biased justice system. This book resonate a lot especially during this political climate iykyk.","",,"",No
Literature From Around the World,Prentice Hall,"","",hardcover,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,Yes
The Pickwick Papers,Charles Dickens,"",9780141442525,digital,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
The Sun Also Rises,Ernest Hemingway,"","",hardcover,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Amari and the Great Game,B.B. Alston,Imani Parks (Narrator),9798200852253,audio,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,Yes
Just Mercy,Bryan Stevenson,"",9780399589904,paperback,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,Yes
The Seven Year Slip,Ashley Poston,Brittany Pressley (Narrator),9780008566616,audio,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Bad Blood,Jennifer Lynn Barnes,"",9781484757321,hardcover,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,Yes
Projekt 1065: A Novel of World War II,Alan Gratz,"",9780545880169,hardcover,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,Yes
The Joy Luck Club,Amy Tan,"",0804106304,paperback,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
Famous Last Words,Gillian McAllister,"",9780063338425,hardcover,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Praise of Folly,Desiderius Erasmus,"Betty Radice (Translator), Betty Radice (Translator)",9780140446081,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Nicholas Nickleby,Charles Dickens,Mark Ford (Contributor),9780140435122,paperback,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
Normal People,Sally Rooney,"",9781984822178,hardcover,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,Yes
The Joy Luck Club,Amy Tan,"",0399134204,hardcover,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
Amari and the Night Brothers,B.B. Alston,"",9780062975164,hardcover,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,Yes
The Prince,Niccolò Machiavelli,"Rufus Goodwin (Translator), Benjamin Martinez (Illustrator)",9780937832387,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Call Me By Your Name,André Aciman,"",9781786495259,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Heart of Darkness,Joseph Conrad,Aníbal Fernandes (Translator),9781892295491,paperback,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,to-be-read,Yes
The Jungle,Upton Sinclair,"",9781884365300,paperback,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
As Brave as You,Jason Reynolds,"",9781481415903,hardcover,to-read,2025/06/04,"","",0,"",,,,,,,,,"",,to-be-read,No
By Your Side,Kasie West,"",9780062455864,paperback,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,Yes
Their Eyes Were Watching God,Zora Neale Hurston,"",9780061120060,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,to-be-read,Yes
Jane Eyre,Charlotte Brontë,"",9780142437209,paperback,to-read,2025/02/07,"","",0,"",,,,,,,,,"",,"",No
Martha Graham: A Dancer's Life,Russell Freedman,"",,hardcover,read,2024/12/18,2024/12/20,2024/12/20,1,"",,,,,,,4.0,,"",,"",No
Richard III,William Shakespeare,John Jowett,9780192839930,paperback,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
Tuổi trẻ và tình yêu : thiền cho tuổi trẻ,Chân Pháp Đăng,"","",,to-read,2025/05/24,"","",0,"",,,,,,,,,"",,to-be-read,No
Funny Story,Emily Henry,Julia Whelan (Narrator),9780593826287,audio,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Lessons in Chemistry,Bonnie Garmus,"",978038554734X,hardcover,to-read,2025/01/31,"","",0,"",,,,,,,,,"",,"",No
Pride and Prejudice,Jane Austen,"",9781441341709,hardcover,read,2024/12/18,2025/05/30,2025/05/30,1,"",medium,Plot,Yes,Yes,No,Yes,4.0,"","","","",No
Frankenstein: The 1818 Text,Mary Shelley,"Charlotte Gordon (Contributor), Lord Byron, Charles E. Robinson (Contributor), Mary Wollstonecraft",9780143131847,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,to-be-read,Yes
Buổi Chiều Windows,Nguyễn Nhật Ánh,"",9786041004665,paperback,currently-reading,2025/05/24,"","",0,"",,,,,,,,,"",,to-be-read,No
Uncle Tom's Cabin,Harriet Beecher Stowe,"",9781593081218,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Ghost Boys,Jewell Parker Rhodes,"",9781549172427,audio,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,to-be-read,No
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"",9781501139239,hardcover,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
Othello,William Shakespeare,"",9780451501622,paperback,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,Yes
Icebreaker,Hannah Grace,Lene Støvring (Translator),9788702415346,digital,read,2024/11/11,2024/06/09,2024/06/09,1,"",,,,,,,1.0,,"",,"",No
If Only I Had Told Her,Laura Nowlin,"Tyler Darby (Narrator), Gina Rogers (Narrator)",9798350836448,audio,to-read,2025/06/08,"","",0,"",,,,,,,,,"",,to-be-read,No
Dear Martin,Nic Stone,Dion Graham (Narrator),9781398505759,audio,to-read,2025/06/04,"","",0,"",,,,,,,,,"",,to-be-read,No
Little Dorrit,Charles Dickens,"",9781542915250,paperback,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
Romeo and Juliet,William Shakespeare,"",9780241288207,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,to-be-read,No
The Complete Sherlock Holmes,Arthur Conan Doyle,"",9781937994303,hardcover,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Before We Were Yours,Lisa Wingate,"",9780425284681,hardcover,to-read,2025/06/04,"","",0,"",,,,,,,,,"",,to-be-read,No
The Giver,Lois Lowry,"",9780385732550,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
The Canterbury Tales,Geoffrey Chaucer,Nevill Coghill (Translator),9780140424386,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
The Stranger,Albert Camus,Stuart Gilbert (Translator),0394700023,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Of Mice and Men,John Steinbeck,"",9780142000670,paperback,read,2024/12/13,2025/01/12,2025/01/12,1,"",,,,,,,4.0,,"",,"",No
Kafka on the Shore,Haruki Murakami,Philip Gabriel (Translator),9781400079278,paperback,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
Clap When You Land,Elizabeth Acevedo,"",9780062882769,hardcover,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
A Court of Silver Flames,Sarah J. Maas,"",9781681196282,hardcover,to-read,2024/11/11,"","",0,"",,,,,,,,,"",,to-be-read,Yes
The Midnight Library,Matt Haig,"",9780525559474,hardcover,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Each Little Bird That Sings,Deborah Wiles,"",9780152056575,paperback,to-read,2025/06/04,"","",0,"",,,,,,,,,"",,to-be-read,No
A Midsummer's Night Dream,William Shakespeare,"","",digital,read,2025/02/21,2025/03/01,2025/03/01,1,"",,,,,,,4.0,,"",,"",No
Night,Elie Wiesel,Marion Wiesel (Translator),9780374500016,paperback,read,2025/06/04,2025/12/30,2025/12/30,1,"",,,,,,,5.0,,"",,"",No
A Clockwork Orange,Anthony Burgess,"",9780393341768,paperback,to-read,2025/02/11,"","",0,"",,,,,,,,,"",,"",No
Problematic Summer Romance,Ali Hazelwood,"",9798217188123,hardcover,to-read,2025/06/06,"","",0,"",,,,,,,,,"",,to-be-read,No
Emma,Jane Austen,"",9780141439587,paperback,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,to-be-read,Yes
All of Our Demise,"C.L. Herman, Amanda Foody","",9781250789358,digital,to-read,2025/01/31,"","",0,"",,,,,,,,,"",,"",No
Shakespeare's Sonnets,William Shakespeare,Katherine Duncan-Jones,9781903436578,paperback,to-read,2025/06/13,"","",0,"",,,,,,,,,"",,"",No
The Princess Bride,William Goldman,"",9780345418265,paperback,to-read,2025/02/11,"","",0,"",,,,,,,,,"",,"",No
Life is Messy,Matthew Kelly,"",9781635822007,paperback,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,Yes
P.S. I Still Love You,Jenny Han,"",9781442426733,hardcover,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
The Brothers Karamazov,Fyodor Dostoevsky,"Richard Pevear (Translator), Larissa Volokhonsky (Translator)",9780374528379,paperback,to-read,2025/02/11,"","",0,"",,,,,,,,,"",,"",No
The Song of Achilles,Madeline Miller,"","",digital,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Sunrise on the Reaping,Suzanne Collins,"",9781546171461,hardcover,to-read,2025/04/28,"","",0,"",,,,,,,,,"",,"",No
Amari and the Night Brothers,B.B. Alston,Imani Parks (Narrator),9781867518020,audio,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,No
Ghost Boys,Jewell Parker Rhodes,"",9781432873738,paperback,read,2025/02/23,"","",1,"",,,,,,,,,"",,"",No
Don't Be In Love,Liana Cincotti,"","",digital,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
The Glass Menagerie,Tennessee Williams,"",9780811214049,paperback,read,2024/11/11,2024/11/06,2024/11/06,1,"",,,,,,,5.0,,"",,"",No
Phòng Trọ Ba Người,Nguyễn Nhật Ánh,"",9786041005280,paperback,to-read,2025/05/24,"","",0,"",,,,,,,,,"",,to-be-read,No
To All the Boys I've Loved Before,Jenny Han,"",9781442426719,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
A Court of Frost and Starlight,Sarah J. Maas,"",9781635575620,paperback,read,2024/11/11,2024/07/02,2024/07/02,1,"",,,,,,,4.0,,"",,"",No
The Color Purple,Alice Walker,"",9780143135692,paperback,to-read,2025/02/11,"","",0,"",,,,,,,,,"",,"",No
Nắm Tay Anh Rồi Bình Yên Sẽ Tới,Du Phong,"","",paperback,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,Yes
Towers Falling,Jewell Parker Rhodes,"",9780316262224,hardcover,to-read,2025/06/04,"","",0,"",,,,,,,,,"",,to-be-read,No
Anne of Green Gables,L.M. Montgomery,"",9780451528827,paperback,to-read,2025/06/07,"","",0,"",,,,,,,,,"",,"",No
Sapiens: A Brief History of Humankind,Yuval Noah Harari,"","",hardcover,to-read,2025/06/13,"","",0,"",,,,,,,,,"",,"",No
Wuthering Heights,Emily Brontë,"",9780141439556,paperback,to-read,2025/02/07,"","",0,"",,,,,,,,,"",,to-be-read,No
Malice,Heather Walter,"",9781984818652,hardcover,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,Yes
The Merchant of Venice,William Shakespeare,"",9780743477567,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Ethan Frome,Edith Wharton,"",9781566196741,hardcover,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
The Maze Runner,James Dashner,"",9780385737944,hardcover,to-read,2025/06/04,"","",0,"",,,,,,,,,"",,to-be-read,No
The Scarlet Letter,Nathaniel Hawthorne,"",9781375922692,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,to-be-read,No
The Hunger Games,Suzanne Collins,"",9781407132082,paperback,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,Yes
Check & Mate,Ali Hazelwood,"",9780593619919,paperback,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,Yes
Macbeth: Moment by Moment,"Carmen Kahn, William Shakespeare, William Shakespeare, Jack Armstrong","",9780998809106,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
The Hate U Give,Angie Thomas,"",9780062498533,hardcover,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,Yes
Don't Be In Love,Liana Cincotti,"",9798832596426,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Animal Farm,George Orwell,Téa Obreht (Contributor),9780451526342,paperback,read,2025/12/31,2026/01/08,2025/12/31-2026/01/08,1,"",,"","","","","",4.75,"","","","",Yes
The Upside of Falling,Alex Light,"",9780062918055,hardcover,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Mary Queen of Scotland and the Isles,Margaret George,"",9780312155858,paperback,to-read,2025/06/04,"","",0,"",,,,,,,,,"",,to-be-read,No
The Secret History,Donna Tartt,"",9781400031702,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
The Plague,Albert Camus,Stuart Gilbert (Translator),9780140180206,paperback,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
Eleanor & Park,Rainbow Rowell,"",9781250012579,hardcover,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,Yes
The American Roommate Experiment,Elena Armas,"",9781668002773,paperback,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,Yes
Little Women,Louisa May Alcott,Annie Stewart (Narrator),"",audio,to-read,2025/02/11,"","",0,"",,,,,,,,,"",,"",No
War and Peace ,Leo Tolstoy,"Leo Tolstoy (Translator), Louise Maude (Translator)",9780192833983,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Anatomy: A Love Story,Dana Schwartz,"",9780349433363,hardcover,to-read,2025/01/30,"","",0,"",,,,,,,,,"",,"",No
We Are Not Free,Traci Chee,"",9780358131434,hardcover,read,2024/11/12,2024/08/16,2024/08/16,1,"",,,,,,,4.0,,"",,"",No
Icebreaker,Hannah Grace,"",9781398543331,hardcover,read,2024/11/11,2024/06/09,2024/06/09,1,"",,,,,,,1.0,,"",,"",No
Great Expectations,Charles Dickens,"Margaret Cardwell (Contributor), Kate Flint (Contributor)",9780192833594,paperback,to-read,2025/02/11,"","",0,"",,,,,,,,,"",,to-be-read,Yes
The Chronicles of Women in White Coats,"Mia Ben MD, Kena Shah Do, Natasha Sriraman MD","",9781987634662,paperback,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,Yes
The Age of Innocence,Edith Wharton,"",9781593081430,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
