Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Yellowface,R.F. Kuang,"Jasmin Humburg (Translator), Milena Karas (Narrator)",9783754012321,audio,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
"Always and Forever, Lara Jean",Jenny Han,"",9781481430487,hardcover,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
The Importance of Being Earnest,Oscar Wilde,"",9781580495806,paperback,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
"Everything, Everything",Nicola Yoon,"",9780553496642,hardcover,to-read,2025/06/04,"","",0,"",,,,,,,,,"",,to-be-read,No
Kafka on the Shore,Haruki Murakami,"Daniel Liévano (Illustrator), Philip Gabriel (Translator)","",hardcover,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
The Adventures of Huckleberry Finn,Mark Twain,"",9780142437179,paperback,to-read,2025/02/11,"","",0,"",,,,,,,,,"",,"",No
Pachinko,Min Jin Lee,"Sandra Oh (Narrator), Min Jin Lee (Narrator)","",audio,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
Babel,R.F. Kuang,"",9780063021426,hardcover,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
The Catcher in the Rye,J.D. Salinger,"",9780316769174,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Bride,Ali Hazelwood,"","",paperback,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,No
Anything But Okay,Sarah Darer Littman,"",9781338177480,hardcover,to-read,2025/06/04,"","",0,"",,,,,,,,,"",,to-be-read,No
Henry V,William Shakespeare,"Barbara A. Mowat (Contributor), Paul Werstine (Contributor), Michael Neill (Contributor)",9780743484879,paperback,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
Love on the Brain,Ali Hazelwood,"",9781408725788,digital,read,2025/12/31,2025/05/24,2025/05/20-2025/05/24,1,"",,,,,,,,,"",,"",No
